Artist,Album,Play count,MBID,Release year,Release type
Death Of Lovers,The Acrobat,12,415300dc-a8ec-4fd2-9864-6826c0a2252b,2017,Album
Oasis,Definitely Maybe,12,0ba3d442-bdcb-4f09-ac7b-46fc07623981,1994,Album
Softer Still,Nuances,12,1d503906-5364-4424-8ea1-ac3f0a52a191,2018,Album
The Smiths,The Queen Is Dead,12,0fcc367d-af66-49ee-b7b0-8351a91e04c0,1986,Album
Black Marble,Fast Idol,11,9daa9a35-e064-440b-81a3-b3dcd7dbc833,2021,Album
bôa,Twilight,11,311ad921-98dc-43d5-ad37-ceba57618f52,2001,Album
Cocteau Twins,Milk & Kisses,11,0ab2ffe7-9e67-4888-87bb-89c11c2057da,1996,Album
dandelion hands,It's All in Your Head,11,30c6bed1-467f-41c9-93bf-12bf1251ea6e,2013,Spokenword
Mumrunner,Valeriana,11,b22dc170-0a32-4dfd-a9bd-3776105d712e,2020,Album
Nick Drake,Pink Moon,11,278903c5-465e-4dfe-b278-10e7ce02f0d3,1972,Album
Pale Saints,The Comforts of Madness,11,2de02df3-e26d-37dd-812e-133469478e2d,1990,Album
Siouxsie and the Banshees,Juju,11,1a53aaee-7c38-4531-94f0-5b40fb99562a,1981,Album
Siouxsie and the Banshees,Tinderbox,11,1ab8752b-5df7-34a1-a560-af05849ecbf0,1986,Album
Solid Space,space museum,11,6ee7e606-7838-4b8e-96e3-9d3681e28169,1982,Album
Tears for Fears,Songs from the Big Chair,11,16de0b2c-e92d-42c6-9d67-74cebcfac08f,1985,Album
The Pastels,Sittin' Pretty,11,8a6e1688-0e66-46d9-97c7-b7bcfd1702ee,1989,Album
TOPS,Picture You Staring,11,05dc533f-e912-4e5c-a88a-3a5002cbb0d1,2014,Album
Wild Nothing,Gemini,11,039052fd-5aa9-4271-a81b-9d7935753e29,2010,Album
Yo La Tengo,I Can Hear the Heart Beating as One,11,077f90dc-65eb-49c5-9d28-fb13e6a25651,1997,Album
You'll Never Get to Heaven,Images,11,ac3e4553-49c0-4adb-829e-49c2c431e15a,2017,Album
Bedroom,In My Head,10,28fd821e-cdbd-4a33-be1f-667f9d9e5ea5,2013,Single
Cocteau Twins,Blue Bell Knoll,10,0492947a-0215-4508-af24-370a9880f12f,1988,Album
Dinosaur Jr.,You're Living All Over Me,10,22d4ddbb-0161-4754-a8d0-5e0bd0d45f61,1987,Album
Sigur Rós,Ágætis byrjun,10,0041638d-a5fc-3449-91e8-878b48d81815,1999,Album
Steve Reich,Music for 18 Musicians,10,06d18fb2-4693-4c1c-b27f-f0c6e44ceddf,2015,Album
The Cure,Pornography,10,2798e8ac-70c6-39fb-84ab-ad226d4ed6a0,1982,Album
The Cure,The Head on the Door,10,0cd3c289-84d5-4330-9292-a66081d2db6c,1985,Album
The Units,High Pressure Days,10,a60367f8-6a3a-4750-999d-8dc6049e4483,2009,Single
Victrola,Maritime Tatami,10,c5c64ce4-d9b0-4d3b-802f-083358921410,1983,Single
Young Marble Giants,Colossal Youth,10,40a1c080-c3b5-4284-9b83-baba05bf5a35,1980,Album
Aphex Twin,...I Care Because You Do,9,078de608-e48b-455f-9239-e501f5e6f41a,1995,Album
Black Marble,A Different Arrangement,9,a108c85a-336e-4d7e-993b-e266e878b39d,2012,Album
Bryan Ferry,Boys and Girls,9,08fa6c84-0b0e-4d27-a41f-51e43dffd565,1985,Album
Drab Majesty,Modern Mirror,9,8c6565a5-4313-4cb3-8661-78bebd18cd63,2019,Album
Orchestral Manoeuvres in the Dark,Dazzle Ships,9,2215457d-8d26-4105-847e-2b43d741f81a,1983,Album
Sonique,Hear My Cry,9,578bfb5a-b5ac-4359-989f-c2ff53297c0d,2000,Album
Sparklehorse,Good Morning Spider,9,21841c6d-80db-4005-a2e2-cfcf0dc6f237,1998,Album
The Passions,Thirty Thousand Feet Over China,9,19582575-ffe1-41ac-9d7a-2395a4d2bd13,1981,Album
The Psychedelic Furs,Mirror Moves,9,07547303-ec7d-48ff-a0b2-f395092e46e0,1984,Album
Airiel,Winks & Kisses: Melted,8,1c68d85f-496c-423e-8d6a-f67e9bafe466,2004,EP
black midi,Cavalcade,8,345d99c7-ea59-4af1-8212-cff33b42608f,2021,Album
Blind Mr. Jones,Tatooine,8,b6723b74-8977-42b6-8b2f-ef3878763c82,1994,Album
